TrueLabel	PredictLabel
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	acc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	unacc
unacc	acc
unacc	acc
unacc	acc
unacc	good
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	vgood
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	unacc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	good
unacc	vgood
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	good
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	unacc
unacc	good
unacc	good
unacc	good
unacc	acc
unacc	acc
unacc	good
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	good
unacc	acc
unacc	good
unacc	acc
unacc	good
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	vgood
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	vgood
unacc	good
unacc	good
unacc	good
unacc	good
unacc	vgood
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	vgood
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	good
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
unacc	acc
acc	acc
unacc	acc
unacc	acc
acc	acc
unacc	acc
acc	acc
acc	acc
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
acc	vgood
unacc	vgood
acc	vgood
acc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	vgood
unacc	good
unacc	good
unacc	vgood
unacc	good
unacc	vgood
unacc	good
unacc	vgood
acc	good
unacc	vgood
unacc	good
acc	vgood
unacc	good
acc	vgood
